상품명,카테고리,가격,행사 정보,중량,칼로리,탄수화물,단백질,지방,나트륨,편의점 코드,이미지 주소
투움바파스타,즉석요리,"3,600
",,230,440,45,13,23,1440,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8809083705251.jpg
큰컵짜짜로니,즉석요리,"1,400
",,105,576,13.68,20.59,83.66,1110.82,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801073210783.jpg
햇반구수한쌀밥,즉석요리,"2,600
",,1260,330,74,5,1.4,5,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801007880280.jpg
누텔라,과자,"5,000
",,370,545,60.5,6.3,30.9,42,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/0000080776468.jpg
삼양라면밥,즉석요리,"3,500
",,500,463,72,10,15,1583,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8809294666419.jpg
복음자리딸기잼,식품,"5,500
",,640,60,14,0,0,10,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8805999101040.jpg
꼬꼬면,즉석요리,"1,100
",,115,490,80,9,15,1810,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801128509770.jpg
생블루베리,식품,"5,500
",,100,520,16.8,9.2,92,340,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8809669191553.jpg
감자탕볶음밥,즉석요리,"4,300
",,250,475,68,12,17,1090,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801045909073.jpg
춘천식양념닭갈비,즉석요리,"6,900
",,280,443,24,35,23,1030,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8809558845888.jpg
도가니탕,즉석요리,"6,400
",,450,95,0.7,9,6,990,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801052080598.jpg
소머리곰탕,즉석요리,"6,400
",,600,135,3,23,3.5,1300,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8801052080581.jpg
매콤크림리조또,즉석요리,"3,800
",,230,390,40,10,21,1160,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8805684003857.jpg
통계란샐러드고구마,식품,"2,900
",,170,375,22,9,28,480,5,https://tqklhszfkvzk6518638.cdn.ntruss.com/product/8805684003628.jpg
