상품명,가격,행사 정보,이미지 주소,편의점 코드
끌레도르쿠키앤크림바90ML,"2,500",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801104172134_137.jpg,1
끌레도르베리믹스바90ML,"2,500",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801104172059_003.jpg,1
끌레도르카페라떼비스킷,"2,500",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801104675420_001.jpg,1
끌레도르쿠키앤초코90ML,"2,500",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801104670029_003.jpg,1
쿠로미다크초코모나카,"2,500",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801206003886_001.jpg,1
우유쏙찹쌀떡모나카140ML,"2,500",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801206003794_002.jpg,1
통팥쏙우유샌드180ML,"2,500",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801206004463_001.jpg,1
아이스가이피치200ML,"2,500",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8809713220093_002.jpg,1
말랑한찰떡아이스,"2,200",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801062435197_203.jpg,1
본가찰옥수수140ML,"2,200",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801062435692_695.jpg,1
국화빵150ML,"2,200",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801118251269_272.jpg,1
빵빠레초코195ML,"2,200",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801118251313_002.jpg,1
쿠키오130ML,"2,200",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801118251405_408.jpg,1
빵빠레카스타드195ML,"2,200",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801118256721_004.jpg,1
레모나아이스120ML,"2,200",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8809713221953_002.jpg,1
팥빙수바90ML,"2,500",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8809490180924_002.jpg,1
에너자이저리튬CR20324입,"8,300",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8809175304058_002.jpg,1
비니스트미니오리지널,"2,700",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8809388460220_003.jpg,1
비니스트스페셜10입,"2,700",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8809388461821_003.jpg,1
비타500아이스바75ML,"1,500",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801206004388_001.jpg,1
누가바,"1,500",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8809713220123_003.jpg,1
쌍쌍바75ML,"1,500",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8809713220031_002.jpg,1
춘식이백도복숭아쭈쭈바130ML,"1,800",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801206004357_001.jpg,1
레모나스틱바70ML,"1,800",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8809713221946_001.jpg,1
에너자이저맥스AA10입,"12,700",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8809175300326_001.jpg,1
에너자이저맥스AAA10입,"12,700",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8809175300333_001.jpg,1
에너자이저맥스AA6+2입,"10,800",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8888021202144_145.jpg,1
에너자이저맥스AAA6+2입,"10,800",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8888021203172_001.jpg,1
에너자이저맥스AA2입,"4,100",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8888021200119_120.jpg,1
에너자이저맥스AAA2입,"4,100",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8888021200904_906.jpg,1
에너자이저리튬CR20164입,"8,300",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8809175304072_002.jpg,1
에너자이저리튬CR20254입,"8,300",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8809175304065_002.jpg,1
알카라인AAA2+1입,"4,500",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8888021305470_001.jpg,1
에너자이저9V1입,"6,300",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8888021200171_172.jpg,1
에너자이저D2입,"8,900",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8888021200140_141.jpg,1
에너자이저C2입,"6,900",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8888021200133_134.jpg,1
에너자이저맥스플러스AA4입,"9,400",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8809175300487_002.jpg,1
에너자이저맥스플러스AAA4입,"9,400",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8809175300555_002.jpg,1
에너자이저맥스플러스AA2입,"5,100",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8809175300470_002.jpg,1
에너자이저맥스플러스AAA2입,"5,100",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8809175300548_002.jpg,1
